100,ONE,2,none,none
500,400,demon,ONE,straight
500,600,demon,ONE,straight
700,0,rock,right,2
1200,500,demon,none,circle
1200,400,demon,none,circle
1800,500,pickup,speed,none
1999,THREEVEE,3,health,none
2375,400,demon,THREEVEE,straight
2475,350,demon,THREEVEE,straight
2475,450,demon,THREEVEE,straight
2500,0,rock,right,2
3099,FOURVEE,5,weapon,none
3100,500,demon,FOURVEE,straight
3175,450,demon,FOURVEE,straight
3175,550,demon,FOURVEE,straight
3250,600,demon,FOURVEE,straight
3250,400,demon,FOURVEE,straight
3900,440,mirror,none
4200,380,demon,none,zigzag
4200,490,demon,none,zigzag
5600,bfive,4,none,none
5600,440,mirror,none,none
6200,380,demon,bfive,rzigzag
6200,490,demon,bfive,zigzag
6500,bsix,3,health,none
6500,440,demon,bsix,straight
6700,320,demon,bsix,straight
6700,560,demon,bsix,straight
7000,500,pickup,speed,none
7200,500,strongerdemon,none,single
7500,beight,4,speed,none
7600,490,strongerdemon,none,zigzag
8000,380,demon,beight,zigzag
8000,490,demon,beight,zigzag
8500,bnine,3,health,none
8500,440,strongerdemon,bnine,straight
8650,320,demon,bnine,straight
8650,560,demon,bnine,straight
8800,300,mirror,none,none
9000,0,rock,right,2
9200,0,rock,left,2
9499,FIVEVEE,3,health
9500,500,strongerdemon,FIVEVEE,single
9525,550,demon,FIVEVEE,straight
9525,450,demon,FIVEVEE,straight
9600,500,pickup,health
9900,0,rock,right,3
10200,440,caution,none
10649,SIX,12,weapon,none
10650,300,strongerdemon,SIX,single
10650,600,strongerdemon,SIX,single
10700,300,demon,SIX,straight
10700,500,strongerdemon,SIX,single
10700,600,demon,SIX,straight
10750,300,demon,SIX,straight
10750,500,demon,SIX,straight
10750,600,demon,SIX,straight
10800,300,demon,SIX,straight
10800,500,demon,SIX,straight
10800,600,demon,SIX,straight
10850,500,demon,SIX,straight
11500,300,pickup,speed,none
11500,700,pickup,health,none
12300,0,rock,left,2
12600,0,rock,left,3
12700,0,rock,right,2
12800,350,pickup,speed,none
13100,0,rock,left,3
13400,0,rock,right,1
13500,0,rock,left,3
13900,0,rock,right,3
14300,400,pickup,speed,none
14300,0,rock,right,2
14600,0,rock,left,3
14600,0,rock,right,2
14900,0,rock,right,2
15100,0,rock,left,2
15300,0,rock,right,1
15399,SEVEN,1,weapon,none
15400,725,strongerdemon,SEVEN,single
15600,0,rock,right,2
15700,350,pickup,speed,none
15900,0,rock,left,2
16100,0,rock,right,3
16299,EIGHT,6,speed,none
16300,380,demon,EIGHT,rzigzag
16300,490,strongerdemon,EIGHT,zigzag
16300,380,demon,EIGHT,zigzag
16400,490,demon,EIGHT,rzigzag
16475,500,strongerdemon,EIGHT,straight
16550,490,strongerdemon,EIGHT,zigzag
16700,500,pickup,health,none
17000,350,mirror,none,none
17400,0,rock,left,2
17400,0,rock,right,3
17500,600,mirror,none,none
18000,0,rock,left,2
18200,275,demon,none,circle
18200,375,demon,none,circle
18300,0,rock,right,3
18500,650,demon,none,circle
18500,750,demon,none,circle
18700,0,rock,left,3
18800,0,rock,right,2
18850,300,demon,none,circle
18850,300,demon,none,circle
19000,0,rock,right,3
19099,TENVEE,3,speed,none
19100,350,demon,TENVEE,circle
19200,200,demon,TENVEE,circle
19200,400,demon,TENVEE,circle
19300,0,rock,right,2
19500,0,rock,left,3
19500,440,caution,none
19699,ELEVENVEE,3,speed
19700,380,demon,ELEVENVEE,rzigzag
19800,490,demon,ELEVENVEE,zigzag
19800,380,demon,ELEVENVEE,rzigzag
19999,TWELVE,4,health,none
20400,400,strongerdemon,TWELVE,single
20400,500,demon,TWELVE,straight
20400,600,strongerdemon,TWELVE,single
20400,700,demon,TWELVE,straight
20550,500,pickup,health,none
20599,FOURTEEN,12,weapon,none
20600,400,demon,FOURTEEN,straight
20600,500,demon,FOURTEEN,straight
20600,600,demon,FOURTEEN,straight
20600,700,demon,FOURTEEN,straight
20650,400,mirror,none,none
20900,350,demon,FOURTEEN,straight
20900,450,demon,FOURTEEN,straight
20900,550,demon,FOURTEEN,straight
20900,650,demon,FOURTEEN,straight
21000,400,strongerdemon,FOURTEEN,single
21000,500,demon,FOURTEEN,single
21000,600,demon,FOURTEEN,single
21000,700,strongerdemon,FOURTEEN,single
21799,FIFTEENVEE,5,speed,none
21800,500,strongerdemon,FIFTEENVEE,single
21850,450,demon,FIFTEENVEE,straight
21850,550,demon,FIFTEENVEE,straight
21850,400,demon,FIFTEENVEE,straight
21900,600,demon,FIFTEENVEE,straight
22300,0,rock,left,2
22399,SIXTEENVEE,3,health,none
22400,380,demon,SIXTEENVEE,rzigzag
22500,0,rock,right,1
22450,380,demon,SIXTEENVEE,rzigzag
22450,490,demon,SIXTEENVEE,zigzag
22700,490,demon,none,zigzag
22700,600,strongerdemon,none,straight
22800,500,mirror,none,none
22800,SEVENTEENVEE,12,health,none
23300,500,demon,SEVENTEENVEE,straight
23350,400,demon,SEVENTEENVEE,straight
23350,600,demon,SEVENTEENVEE,straight
23400,300,demon,SEVENTEENVEE,straight
23400,500,demon,SEVENTEENVEE,straight
23400,700,demon,SEVENTEENVEE,straight
23450,250,demon,SEVENTEENVEE,straight
23450,400,demon,SEVENTEENVEE,straight
23450,600,demon,SEVENTEENVEE,straight
23450,750,demon,SEVENTEENVEE,straight
23500,300,demon,SEVENTEENVEE,straight
23500,700,demon,SEVENTEENVEE,straight
23700,0,rock,right,2
24300,0,rock,left,3
24300,380,strongerdemon,none,rzigzag
